kepid,kepler_name,pl_name
8760040,Kepler-1396 b,Kepler-1396 b
10098844,Kepler-1397 b,Kepler-1397 b
11090556,Kepler-1398 b,Kepler-1398 b
11090556,Kepler-1398 c,Kepler-1398 c
9468551,Kepler-1399 b,Kepler-1399 b
10264660,Kepler-14 b,Kepler-14 b
9881662,Kepler-140 b,Kepler-140 b
9881662,Kepler-140 c,Kepler-140 c
9076971,Kepler-1400 b,Kepler-1400 b
5520547,Kepler-1401 b,Kepler-1401 b
11244137,Kepler-1402 b,Kepler-1402 b
3848275,Kepler-1403 b,Kepler-1403 b
12021625,Kepler-1404 b,Kepler-1404 b
4175630,Kepler-1405 b,Kepler-1405 b
3852655,Kepler-1406 b,Kepler-1406 b
6103377,Kepler-1407 b,Kepler-1407 b
9070666,Kepler-1408 b,Kepler-1408 b
12405333,Kepler-1409 b,Kepler-1409 b
10552611,Kepler-141 b,Kepler-141 b
10552611,Kepler-141 c,Kepler-141 c
3642335,Kepler-1410 b,Kepler-1410 b
7347246,Kepler-1411 b,Kepler-1411 b
11403530,Kepler-1412 b,Kepler-1412 b
9716391,Kepler-1413 b,Kepler-1413 b
6929841,Kepler-1414 b,Kepler-1414 b
10585738,Kepler-1415 b,Kepler-1415 b
8051946,Kepler-1416 b,Kepler-1416 b
5445681,Kepler-1417 b,Kepler-1417 b
6263593,Kepler-1418 b,Kepler-1418 b
2716801,Kepler-1419 b,Kepler-1419 b
10982872,Kepler-142 b,Kepler-142 b
10982872,Kepler-142 c,Kepler-142 c
10982872,Kepler-142 d,Kepler-142 d
7216284,Kepler-1420 b,Kepler-1420 b
