kepid,kepoi_name,kepler_name,ra,dec,koi_kepmag,koi_disposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_duration,koi_depth,koi_model_snr,koi_impact,koi_prad,koi_teq,koi_insol,koi_ror,koi_steff,koi_slogg,koi_srad,koi_smass,sky_coord.ra,sky_coord.dec
9969287,K04820.01,,298.38007,46.8894,15.479,CANDIDATE,0.987,0,0,0,0,14.7401061,133.5305,5.637,238.0,10.3,0.116,1.48,750.0,74.65,0.014103,5999.0,4.494,0.959,1.045,298.38007,46.8894
11401253,K04823.01,,290.99005,49.233131,12.739,CANDIDATE,0.878,0,0,0,0,4.96504981,135.55399,2.212,50.7,8.7,0.655,1.51,1403.0,917.99,0.006861,5339.0,3.823,2.011,0.982,290.99005,49.233131
4764774,K04825.01,,296.28137,39.874969,15.274,FALSE POSITIVE,0.001,0,0,1,0,1.29019586,132.11311,3.741,86.5,11.1,0.044,0.78,1530.0,1293.44,0.008445,5693.0,4.558,0.842,0.938,296.28137,39.874969
10549902,K04826.01,,297.21347,47.775429,14.58,CANDIDATE,0.971,0,0,0,0,1.141148847,132.24561,1.629,73.1,12.7,0.062,1.67,2248.0,6008.73,0.007681,5438.0,3.916,1.989,1.19,297.21347,47.775429
2711123,K04953.01,,291.01529,37.96777,12.529,FALSE POSITIVE,0.0,0,1,1,1,2.858879267,134.17606,2.3753,644.5,37.1,1.262,515.07,3638.0,41379.77,0.289833,4893.0,2.501,16.274,3.063,291.01529,37.96777
2850321,K04956.01,,290.99982,38.000259,11.941,FALSE POSITIVE,0.0,1,0,0,0,25.2218929,143.6316,14.84,,,,,,,,,,,,290.99982,38.000259
2861126,K04957.02,,293.2811,38.082241,15.555,CANDIDATE,0.997,0,0,0,0,4.98792404,133.6552,1.618,346.2,9.7,0.069,0.73,485.0,13.07,0.016879,3606.0,4.859,0.395,0.413,293.2811,38.082241
2987433,K04959.01,,290.93896,38.119572,13.858,FALSE POSITIVE,0.0,0,1,0,0,420.92920358,196.685958,17.3985,86013.1,1740.2,1.033,62.76,293.0,1.74,0.480108,6461.0,4.319,1.197,1.086,290.93896,38.119572
3101178,K04963.01,,287.04688,38.231617,11.679,CANDIDATE,0.858,0,0,0,0,59.4037839,159.80356,10.041,123.5,17.0,0.94,1.65,570.0,24.93,0.012476,6373.0,4.256,1.209,0.961,287.04688,38.231617
3120397,K04965.01,,292.30801,38.2906,15.673,FALSE POSITIVE,0.0,0,0,1,1,20.5311708,136.4829,5.67,284.6,9.8,0.547,1.39,568.0,24.52,0.015823,5398.0,4.58,0.805,0.902,292.30801,38.2906
